period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,is_betting,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,status
75,"鸡, 猪, 狗, 马","1, 2, 3, 10, 13, 14, 15, 22, 25, 26, 27, 34, 37, 38, 39, 46, 49",17,27,是,是,1,0,6.0,102.0,180.0,329.0,329.0,✅
76,"兔, 鸡, 狗, 马","1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49",17,42,否,是,0,1,1.0,17.0,-17.0,312.0,312.0,❌
77,"兔, 鸡, 狗, 马","1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49",17,47,否,是,0,2,2.0,34.0,-34.0,278.0,278.0,❌
78,"兔, 鸡, 狗, 马","1, 2, 7, 10, 13, 14, 19, 22, 25, 26, 31, 34, 37, 38, 43, 46, 49",17,41,否,是,0,3,4.0,68.0,-68.0,210.0,210.0,❌
79,"兔, 鸡, 猴, 狗","1, 2, 7, 12, 13, 14, 19, 24, 25, 26, 31, 36, 37, 38, 43, 48, 49",17,45,否,是,0,4,6.0,102.0,-102.0,108.0,108.0,❌ [触发止损，暂停投注]
80,"狗, 兔, 鸡, 猴","1, 2, 7, 12, 13, 14, 19, 24, 25, 26, 31, 36, 37, 38, 43, 48, 49",17,41,否,否,0,4,0.0,0.0,0.0,108.0,108.0,⏸️ [暂停投注第1期]
81,"狗, 兔, 龙, 鸡","1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49",17,24,否,否,0,4,0.0,0.0,0.0,108.0,108.0,⏸️ [暂停投注第2期]
82,"狗, 兔, 龙, 鸡","1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49",17,3,否,否,0,4,0.0,0.0,0.0,108.0,108.0,⏸️ [暂停投注第3期]
83,"狗, 兔, 龙, 鸡","1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49",17,34,否,否,0,4,0.0,0.0,0.0,108.0,108.0,⏸️ [暂停投注第4期]
84,"狗, 兔, 龙, 鸡","1, 2, 7, 8, 13, 14, 19, 20, 25, 26, 31, 32, 37, 38, 43, 44, 49",17,14,是,是,0,0,0.0,0.0,0.0,108.0,108.0,⏸️ [暂停中-本期会中，恢复投注]
85,"兔, 鸡, 龙, 虎","1, 6, 7, 8, 13, 18, 19, 20, 25, 30, 31, 32, 37, 42, 43, 44, 49",17,42,是,是,1,0,1.0,17.0,30.0,138.0,138.0,✅
86,"兔, 鸡, 龙, 羊","1, 7, 8, 11, 13, 19, 20, 23, 25, 31, 32, 35, 37, 43, 44, 47, 49",17,19,是,是,2,0,1.0,17.0,30.0,168.0,168.0,✅
87,"鸡, 龙, 羊, 鼠","1, 4, 8, 11, 13, 16, 20, 23, 25, 28, 32, 35, 37, 40, 44, 47, 49",17,44,是,是,3,0,1.0,17.0,30.0,198.0,198.0,✅
88,"羊, 鸡, 鼠, 猴","1, 4, 11, 12, 13, 16, 23, 24, 25, 28, 35, 36, 37, 40, 47, 48, 49",17,2,否,是,0,1,1.0,17.0,-17.0,181.0,181.0,❌
