period,global_period,date,top4_zodiacs,bet_numbers,bet_count,actual,actual_animal,is_hit,is_hit_number,is_hit_animal,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance,model_used
34,299,2025/11/28,"['猴', '猪', '狗', '蛇']","[6, 9, 11, 12, 18, 21, 23, 24, 30, 33, 35, 36, 42, 45, 47, 48]",16,26,龙,False,False,False,0,2,2.0,32.0,-32.0,-4.0,-4.0,集成投票模型(v10 + 优化版)
35,300,2025/11/29,"['猴', '狗', '猪', '蛇']","[6, 9, 11, 12, 18, 21, 23, 24, 30, 33, 35, 36, 42, 45, 47, 48]",16,6,鼠,True,True,False,1,0,4.0,64.0,124.0,120.0,120.0,集成投票模型(v10 + 优化版)
36,301,2025/11/30,"['猴', '狗', '猪', '蛇']","[6, 9, 11, 12, 18, 21, 23, 24, 30, 33, 35, 36, 42, 45, 47, 48]",16,46,猴,False,False,True,0,1,0.5,8.0,-8.0,112.0,112.0,集成投票模型(v10 + 优化版)
37,302,2025/12/1,"['狗', '猪', '蛇', '牛']","[2, 6, 11, 12, 14, 18, 23, 24, 26, 30, 35, 36, 38, 42, 47, 48]",16,44,狗,False,False,True,0,2,2.0,32.0,-32.0,80.0,80.0,集成投票模型(v10 + 优化版)
38,303,2025/12/2,"['猪', '鸡', '蛇', '牛']","[2, 6, 10, 12, 14, 18, 22, 24, 26, 30, 34, 36, 38, 42, 46, 48]",16,17,牛,False,False,True,0,3,4.0,64.0,-64.0,16.0,16.0,集成投票模型(v10 + 优化版)
39,304,2025/12/3,"['猪', '鸡', '猴', '蛇']","[6, 9, 10, 12, 18, 21, 22, 24, 30, 33, 34, 36, 42, 45, 46, 48]",16,9,鸡,True,True,True,1,0,6.0,96.0,186.0,202.0,202.0,集成投票模型(v10 + 优化版)
40,305,2025/12/4,"['猪', '猴', '狗', '马']","[7, 9, 11, 12, 19, 21, 23, 24, 31, 33, 35, 36, 43, 45, 47, 48]",16,8,狗,False,False,True,0,1,0.5,8.0,-8.0,194.0,194.0,集成投票模型(v10 + 优化版)
41,306,2025/12/5,"['猪', '马', '猴', '蛇']","[6, 7, 9, 12, 18, 19, 21, 24, 30, 31, 33, 36, 42, 43, 45, 48]",16,48,马,True,True,True,1,0,2.0,32.0,62.0,256.0,256.0,集成投票模型(v10 + 优化版)
42,307,2025/12/6,"['猪', '猴', '蛇', '兔']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,26,虎,False,False,False,0,1,0.5,8.0,-8.0,248.0,248.0,集成投票模型(v10 + 优化版)
43,308,2025/12/7,"['猪', '猴', '蛇', '兔']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,6,鼠,True,True,False,1,0,2.0,32.0,62.0,310.0,310.0,集成投票模型(v10 + 优化版)
44,309,2025/12/8,"['蛇', '猪', '猴', '兔']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,4,虎,True,True,False,2,0,0.5,8.0,15.5,325.5,325.5,集成投票模型(v10 + 优化版)
45,310,2025/12/9,"['蛇', '猪', '猴', '兔']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,38,龙,False,False,False,0,1,0.5,8.0,-8.0,317.5,317.5,集成投票模型(v10 + 优化版)
46,311,2025/12/10,"['蛇', '猪', '猴', '兔']","[4, 6, 9, 12, 16, 18, 21, 24, 28, 30, 33, 36, 40, 42, 45, 48]",16,27,兔,False,False,True,0,2,2.0,32.0,-32.0,285.5,285.5,集成投票模型(v10 + 优化版)
47,312,2025/12/11,"['蛇', '猪', '羊', '猴']","[6, 8, 9, 12, 18, 20, 21, 24, 30, 32, 33, 36, 42, 44, 45, 48]",16,24,马,True,True,False,1,0,4.0,64.0,124.0,409.5,409.5,集成投票模型(v10 + 优化版)
48,313,2025/12/12,"['蛇', '猪', '羊', '猴']","[6, 8, 9, 12, 18, 20, 21, 24, 30, 32, 33, 36, 42, 44, 45, 48]",16,3,兔,False,False,False,0,1,0.5,8.0,-8.0,401.5,401.5,集成投票模型(v10 + 优化版)
49,314,2025/12/13,"['猪', '蛇', '猴', '羊']","[6, 8, 9, 12, 18, 20, 21, 24, 30, 32, 33, 36, 42, 44, 45, 48]",16,13,蛇,False,False,True,0,2,2.0,32.0,-32.0,369.5,369.5,集成投票模型(v10 + 优化版)
50,315,2025/12/14,"['猪', '猴', '羊', '狗']","[8, 9, 11, 12, 20, 21, 23, 24, 32, 33, 35, 36, 44, 45, 47, 48]",16,16,虎,False,False,False,0,3,4.0,64.0,-64.0,305.5,305.5,集成投票模型(v10 + 优化版)
51,316,2025/12/15,"['猪', '猴', '羊', '牛']","[2, 8, 9, 12, 14, 20, 21, 24, 26, 32, 33, 36, 38, 44, 45, 48]",16,22,猴,False,False,True,0,4,6.0,96.0,-96.0,209.5,209.5,集成投票模型(v10 + 优化版)
52,317,2025/12/16,"['猪', '牛', '鸡', '羊']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,49,蛇,False,False,False,0,5,8.0,128.0,-128.0,81.5,81.5,集成投票模型(v10 + 优化版)
53,318,2025/12/17,"['猪', '牛', '鸡', '羊']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,4,虎,False,False,False,0,6,10.0,160.0,-160.0,-78.5,-78.5,集成投票模型(v10 + 优化版)
54,319,2025/12/18,"['猪', '牛', '羊', '鸡']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,44,狗,True,True,False,1,0,10.0,160.0,310.0,231.5,231.5,集成投票模型(v10 + 优化版)
55,320,2025/12/19,"['猪', '羊', '鸡', '牛']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,1,蛇,False,False,False,0,1,0.5,8.0,-8.0,223.5,223.5,集成投票模型(v10 + 优化版)
56,321,2025/12/20,"['羊', '猪', '鸡', '牛']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,30,鼠,False,False,False,0,2,2.0,32.0,-32.0,191.5,191.5,集成投票模型(v10 + 优化版)
57,322,2025/12/21,"['羊', '猪', '鸡', '牛']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,8,狗,True,True,False,1,0,4.0,64.0,124.0,315.5,315.5,集成投票模型(v10 + 优化版)
58,323,2025/12/22,"['羊', '猪', '鸡', '牛']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,24,马,True,True,False,2,0,0.5,8.0,15.5,331.0,331.0,集成投票模型(v10 + 优化版)
59,324,2025/12/23,"['羊', '猪', '牛', '鸡']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,49,蛇,False,False,False,0,1,0.5,8.0,-8.0,323.0,323.0,集成投票模型(v10 + 优化版)
60,325,2025/12/24,"['羊', '猪', '鸡', '牛']","[2, 8, 10, 12, 14, 20, 22, 24, 26, 32, 34, 36, 38, 44, 46, 48]",16,7,猪,False,False,True,0,2,2.0,32.0,-32.0,291.0,291.0,集成投票模型(v10 + 优化版)
61,326,2025/12/25,"['羊', '鸡', '牛', '猴']","[2, 8, 9, 10, 14, 20, 21, 22, 26, 32, 33, 34, 38, 44, 45, 46]",16,11,羊,False,False,True,0,3,4.0,64.0,-64.0,227.0,227.0,集成投票模型(v10 + 优化版)
62,327,2025/12/26,"['牛', '鸡', '猴', '兔']","[2, 4, 9, 10, 14, 16, 21, 22, 26, 28, 33, 34, 38, 40, 45, 46]",16,41,牛,False,False,True,0,4,6.0,96.0,-96.0,131.0,131.0,集成投票模型(v10 + 优化版)
63,328,2025/12/27,"['鸡', '猪', '猴', '兔']","[4, 9, 10, 12, 16, 21, 22, 24, 28, 33, 34, 36, 40, 45, 46, 48]",16,24,马,True,True,False,1,0,8.0,128.0,248.0,379.0,379.0,集成投票模型(v10 + 优化版)
64,329,2025/12/28,"['鸡', '猪', '羊', '猴']","[8, 9, 10, 12, 20, 21, 22, 24, 32, 33, 34, 36, 44, 45, 46, 48]",16,23,羊,False,False,True,0,1,0.5,8.0,-8.0,371.0,371.0,集成投票模型(v10 + 优化版)
65,330,2025/12/29,"['鸡', '猪', '龙', '猴']","[5, 9, 10, 12, 17, 21, 22, 24, 29, 33, 34, 36, 41, 45, 46, 48]",16,26,龙,False,False,True,0,2,2.0,32.0,-32.0,339.0,339.0,集成投票模型(v10 + 优化版)
66,331,2025/12/30,"['鸡', '猪', '猴', '兔']","[4, 9, 10, 12, 16, 21, 22, 24, 28, 33, 34, 36, 40, 45, 46, 48]",16,12,马,True,True,False,1,0,4.0,64.0,124.0,463.0,463.0,集成投票模型(v10 + 优化版)
67,332,2025/12/31,"['猴', '鸡', '猪', '兔']","[4, 9, 10, 12, 16, 21, 22, 24, 28, 33, 34, 36, 40, 45, 46, 48]",16,26,龙,False,False,False,0,1,0.5,8.0,-8.0,455.0,455.0,集成投票模型(v10 + 优化版)
68,333,2026/1/1,"['猴', '鸡', '猪', '兔']","[4, 9, 10, 12, 16, 21, 22, 24, 28, 33, 34, 36, 40, 45, 46, 48]",16,29,牛,False,False,False,0,2,2.0,32.0,-32.0,423.0,423.0,集成投票模型(v10 + 优化版)
69,334,2026/1/2,"['猴', '鸡', '猪', '兔']","[4, 9, 10, 12, 16, 21, 22, 24, 28, 33, 34, 36, 40, 45, 46, 48]",16,22,猴,True,True,True,1,0,4.0,64.0,124.0,547.0,547.0,集成投票模型(v10 + 优化版)
70,335,2026/1/3,"['鸡', '猪', '兔', '鼠']","[1, 4, 10, 12, 13, 16, 22, 24, 25, 28, 34, 36, 37, 40, 46, 48, 49]",17,9,鸡,False,False,True,0,1,0.5,8.5,-8.5,538.5,538.5,集成投票模型(v10 + 优化版)
71,336,2026/1/4,"['兔', '猪', '鼠', '狗']","[1, 4, 11, 12, 13, 16, 23, 24, 25, 28, 35, 36, 37, 40, 47, 48, 49]",17,45,鸡,False,False,False,0,2,2.0,34.0,-34.0,504.5,504.5,集成投票模型(v10 + 优化版)
