total_bet,total_win,balance,roi,max_drawdown,boost_periods,reduce_periods,hit_count,hit_rate,lookback,good_threshold,bad_threshold,boost_multiplier,reduce_multiplier,reward_risk_ratio
7326.0,9837.099999999997,2511.100000000001,34.27654927654929,522.0,75,61,69,34.5,12,0.35,0.3,1.2,0.7,0.06553833513680553
7326.0,9837.099999999997,2511.100000000001,34.27654927654929,522.0,75,61,69,34.5,12,0.4,0.25,1.2,0.7,0.06553833513680553
7326.0,9837.099999999997,2511.100000000001,34.27654927654929,522.0,75,61,69,34.5,12,0.35,0.25,1.2,0.7,0.06553833513680553
7510.5,10081.499999999998,2571.0000000000005,34.23207509486719,609.9,42,26,69,34.5,12,0.45,0.2,1.2,0.7,0.05603548059398787
7500.0,10067.400000000005,2567.399999999999,34.23199999999999,516.3,75,61,69,34.5,12,0.35,0.25,1.3,0.7,0.06617436690508408
7500.0,10067.400000000005,2567.399999999999,34.23199999999999,516.3,75,61,69,34.5,12,0.4,0.25,1.3,0.7,0.06617436690508408
7500.0,10067.400000000005,2567.399999999999,34.23199999999999,516.3,75,61,69,34.5,12,0.4,0.3,1.3,0.7,0.06617436690508408
7500.0,10067.400000000005,2567.399999999999,34.23199999999999,516.3,75,61,69,34.5,12,0.35,0.3,1.3,0.7,0.06617436690508408
7165.5,9616.199999999997,2450.7000000000003,34.20138162026377,513.5,41,62,69,34.5,15,0.45,0.3,1.2,0.7,0.06647498857194124
7905.0,10607.9,2702.8999999999996,34.19228336495888,504.70000000000005,75,26,69,34.5,12,0.35,0.2,1.5,0.6,0.06761376975471402
7905.0,10607.9,2702.8999999999996,34.19228336495888,504.70000000000005,75,26,69,34.5,12,0.4,0.2,1.5,0.6,0.06761376975471402
7389.0,9912.299999999996,2523.3000000000006,34.14941128704832,507.1,51,26,69,34.5,8,0.4,0.2,1.2,0.7,0.06721002024610967
7389.0,9912.299999999996,2523.3000000000006,34.14941128704832,507.1,51,26,69,34.5,8,0.45,0.2,1.2,0.7,0.06721002024610967
7848.0,10528.000000000002,2679.9999999999995,34.14882772680937,504.9,75,61,69,34.5,12,0.4,0.3,1.5,0.7,0.0675011419782751
7848.0,10528.000000000002,2679.9999999999995,34.14882772680937,504.9,75,61,69,34.5,12,0.35,0.25,1.5,0.7,0.0675011419782751
7848.0,10528.000000000002,2679.9999999999995,34.14882772680937,504.9,75,61,69,34.5,12,0.4,0.25,1.5,0.7,0.0675011419782751
7848.0,10528.000000000002,2679.9999999999995,34.14882772680937,504.9,75,61,69,34.5,12,0.35,0.3,1.5,0.7,0.0675011419782751
8356.5,11209.499999999996,2853.000000000001,34.14108777598278,612.1,81,62,69,34.5,15,0.35,0.3,1.5,0.8,0.05568600191809294
8356.5,11209.499999999996,2853.000000000001,34.14108777598278,612.1,81,62,69,34.5,15,0.4,0.3,1.5,0.8,0.05568600191809294
8301.0,11134.300000000007,2833.299999999999,34.132032285266824,562.8,112,26,69,34.5,8,0.35,0.2,1.3,0.8,0.060539255560955706
7794.0,10452.799999999988,2658.8000000000025,34.11342057993331,560.4000000000001,112,81,69,34.5,8,0.35,0.3,1.2,0.8,0.06076491018869488
7794.0,10452.799999999988,2658.8000000000025,34.11342057993331,560.4000000000001,112,81,69,34.5,8,0.35,0.25,1.2,0.8,0.06076491018869488
7387.5,9907.599999999997,2520.1000000000004,34.11302876480542,514.9000000000001,81,62,69,34.5,15,0.35,0.3,1.2,0.7,0.06612333546192171
7387.5,9907.599999999997,2520.1000000000004,34.11302876480542,514.9000000000001,81,62,69,34.5,15,0.4,0.3,1.2,0.7,0.06612333546192171
7570.5,10151.999999999998,2581.5000000000005,34.099465028729945,608.0,41,25,69,34.5,15,0.45,0.2,1.2,0.7,0.05599255341334966
7570.5,10151.999999999998,2581.5000000000005,34.099465028729945,608.0,41,25,69,34.5,15,0.45,0.25,1.2,0.7,0.05599255341334966
8626.5,11566.7,2940.2,34.08334782356691,675.1,81,25,69,34.5,15,0.35,0.2,1.5,0.8,0.0504116962336443
8626.5,11566.7,2940.2,34.08334782356691,675.1,81,25,69,34.5,15,0.35,0.25,1.5,0.8,0.0504116962336443
8626.5,11566.7,2940.2,34.08334782356691,675.1,81,25,69,34.5,15,0.4,0.2,1.5,0.8,0.0504116962336443
8626.5,11566.7,2940.2,34.08334782356691,675.1,81,25,69,34.5,15,0.4,0.25,1.5,0.8,0.0504116962336443
