period,hit,paused,multiplier,bet,profit,balance
73,False,True,0,0,0,-226
74,False,False,1,15,-15,-241
75,True,False,1,15,32,-209
76,True,True,0,0,0,-209
77,False,False,1,15,-15,-224
78,False,False,1,15,-15,-239
79,False,False,2,30,-30,-269
80,False,False,3,45,-45,-314
81,True,False,5,75,160,-154
82,False,True,0,0,0,-154
83,False,False,1,15,-15,-169
84,False,False,1,15,-15,-184
85,False,False,2,30,-30,-214
86,False,False,3,45,-45,-259
87,False,False,5,75,-75,-334
88,True,False,8,120,256,-78
89,False,True,0,0,0,-78
90,False,False,1,15,-15,-93
91,False,False,1,15,-15,-108
92,False,False,2,30,-30,-138
93,False,False,3,45,-45,-183
94,False,False,5,75,-75,-258
95,False,False,8,120,-120,-378
96,False,False,10,150,-150,-528
97,True,False,10,150,320,-208
98,True,True,0,0,0,-208
99,False,False,1,15,-15,-223
100,False,False,1,15,-15,-238
101,False,False,2,30,-30,-268
102,False,False,3,45,-45,-313
103,True,False,5,75,160,-153
104,False,True,0,0,0,-153
105,True,False,1,15,32,-121
106,True,True,0,0,0,-121
107,False,False,1,15,-15,-136
108,True,False,1,15,32,-104
109,False,True,0,0,0,-104
110,True,False,1,15,32,-72
111,False,True,0,0,0,-72
112,True,False,1,15,32,-40
113,False,True,0,0,0,-40
114,False,False,1,15,-15,-55
115,False,False,1,15,-15,-70
116,True,False,2,30,64,-6
117,False,True,0,0,0,-6
118,False,False,1,15,-15,-21
119,False,False,1,15,-15,-36
120,False,False,2,30,-30,-66
121,False,False,3,45,-45,-111
122,False,False,5,75,-75,-186
123,False,False,8,120,-120,-306
124,True,False,10,150,320,14
125,False,True,0,0,0,14
126,False,False,1,15,-15,-1
127,False,False,1,15,-15,-16
128,True,False,2,30,64,48
129,False,True,0,0,0,48
130,False,False,1,15,-15,33
131,False,False,1,15,-15,18
132,False,False,2,30,-30,-12
133,False,False,3,45,-45,-57
134,False,False,5,75,-75,-132
135,False,False,8,120,-120,-252
136,False,False,10,150,-150,-402
137,False,False,10,150,-150,-552
138,True,False,10,150,320,-232
139,False,True,0,0,0,-232
140,True,False,1,15,32,-200
141,True,True,0,0,0,-200
142,False,False,1,15,-15,-215
143,False,False,1,15,-15,-230
144,False,False,2,30,-30,-260
145,True,False,3,45,96,-164
146,False,True,0,0,0,-164
147,True,False,1,15,32,-132
148,True,True,0,0,0,-132
149,True,False,1,15,32,-100
150,True,True,0,0,0,-100
151,False,False,1,15,-15,-115
152,False,False,1,15,-15,-130
153,True,False,2,30,64,-66
154,False,True,0,0,0,-66
155,False,False,1,15,-15,-81
156,True,False,1,15,32,-49
157,False,True,0,0,0,-49
158,True,False,1,15,32,-17
159,False,True,0,0,0,-17
160,True,False,1,15,32,15
161,False,True,0,0,0,15
162,False,False,1,15,-15,0
163,False,False,1,15,-15,-15
164,True,False,2,30,64,49
165,False,True,0,0,0,49
166,False,False,1,15,-15,34
167,False,False,1,15,-15,19
168,True,False,2,30,64,83
169,True,True,0,0,0,83
170,False,False,1,15,-15,68
171,False,False,1,15,-15,53
172,True,False,2,30,64,117
173,False,True,0,0,0,117
174,False,False,1,15,-15,102
175,False,False,1,15,-15,87
176,False,False,2,30,-30,57
177,False,False,3,45,-45,12
178,False,False,5,75,-75,-63
179,True,False,8,120,256,193
180,False,True,0,0,0,193
181,True,False,1,15,32,225
182,False,True,0,0,0,225
183,False,False,1,15,-15,210
184,True,False,1,15,32,242
185,True,True,0,0,0,242
186,False,False,1,15,-15,227
187,False,False,1,15,-15,212
188,True,False,2,30,64,276
189,False,True,0,0,0,276
190,False,False,1,15,-15,261
191,False,False,1,15,-15,246
192,True,False,2,30,64,310
193,False,True,0,0,0,310
194,False,False,1,15,-15,295
195,True,False,1,15,32,327
196,False,True,0,0,0,327
197,False,False,1,15,-15,312
198,False,False,1,15,-15,297
199,False,False,2,30,-30,267
200,True,False,3,45,96,363
201,False,True,0,0,0,363
202,False,False,1,15,-15,348
203,True,False,1,15,32,380
204,True,True,0,0,0,380
205,False,False,1,15,-15,365
206,False,False,1,15,-15,350
207,True,False,2,30,64,414
208,True,True,0,0,0,414
209,True,False,1,15,32,446
210,False,True,0,0,0,446
211,False,False,1,15,-15,431
212,False,False,1,15,-15,416
213,True,False,2,30,64,480
214,False,True,0,0,0,480
215,False,False,1,15,-15,465
216,False,False,1,15,-15,450
217,False,False,2,30,-30,420
218,True,False,3,45,96,516
219,True,True,0,0,0,516
220,False,False,1,15,-15,501
221,False,False,1,15,-15,486
222,True,False,2,30,64,550
223,True,True,0,0,0,550
224,True,False,1,15,32,582
225,False,True,0,0,0,582
226,False,False,1,15,-15,567
227,False,False,1,15,-15,552
228,False,False,2,30,-30,522
229,False,False,3,45,-45,477
230,True,False,5,75,160,637
231,False,True,0,0,0,637
232,False,False,1,15,-15,622
233,False,False,1,15,-15,607
234,True,False,2,30,64,671
235,False,True,0,0,0,671
236,False,False,1,15,-15,656
237,False,False,1,15,-15,641
238,True,False,2,30,64,705
239,False,True,0,0,0,705
240,False,False,1,15,-15,690
241,False,False,1,15,-15,675
242,False,False,2,30,-30,645
243,True,False,3,45,96,741
244,False,True,0,0,0,741
245,True,False,1,15,32,773
246,True,True,0,0,0,773
247,False,False,1,15,-15,758
248,False,False,1,15,-15,743
249,False,False,2,30,-30,713
250,False,False,3,45,-45,668
251,False,False,5,75,-75,593
252,True,False,8,120,256,849
253,False,True,0,0,0,849
254,False,False,1,15,-15,834
255,False,False,1,15,-15,819
256,True,False,2,30,64,883
257,False,True,0,0,0,883
258,False,False,1,15,-15,868
259,False,False,1,15,-15,853
260,False,False,2,30,-30,823
261,True,False,3,45,96,919
262,True,True,0,0,0,919
263,False,False,1,15,-15,904
264,True,False,1,15,32,936
265,False,True,0,0,0,936
266,False,False,1,15,-15,921
267,True,False,1,15,32,953
268,True,True,0,0,0,953
269,False,False,1,15,-15,938
270,True,False,1,15,32,970
271,True,True,0,0,0,970
272,True,False,1,15,32,1002
273,False,True,0,0,0,1002
274,False,False,1,15,-15,987
275,False,False,1,15,-15,972
276,True,False,2,30,64,1036
277,True,True,0,0,0,1036
278,True,False,1,15,32,1068
279,True,True,0,0,0,1068
280,False,False,1,15,-15,1053
281,True,False,1,15,32,1085
282,False,True,0,0,0,1085
283,True,False,1,15,32,1117
284,False,True,0,0,0,1117
285,False,False,1,15,-15,1102
286,False,False,1,15,-15,1087
287,False,False,2,30,-30,1057
288,False,False,3,45,-45,1012
289,True,False,5,75,160,1172
290,False,True,0,0,0,1172
291,False,False,1,15,-15,1157
292,False,False,1,15,-15,1142
293,False,False,2,30,-30,1112
294,True,False,3,45,96,1208
295,True,True,0,0,0,1208
296,False,False,1,15,-15,1193
297,False,False,1,15,-15,1178
298,False,False,2,30,-30,1148
299,False,False,3,45,-45,1103
300,True,False,5,75,160,1263
