total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8449.5,11510.300000000008,3060.7999999999984,36.22462867625301,771.5,81,69,34.5,15,0.4,1.1,0.04689272320550552
8449.5,11510.300000000008,3060.7999999999984,36.22462867625301,771.5,81,69,34.5,15,0.35,1.1,0.04689272320550552
8433.0,11486.799999999997,3053.8000000000006,36.21249851772798,768.0,23,69,34.5,15,0.5,1.4,0.04709037518560205
8530.5,11618.400000000005,3087.8999999999987,36.198347107438,766.8,51,69,34.5,8,0.5,1.3,0.04714554194769211
8530.5,11618.400000000005,3087.8999999999987,36.198347107438,766.8,51,69,34.5,8,0.45,1.3,0.04714554194769211
8530.5,11618.400000000005,3087.8999999999987,36.198347107438,766.8,51,69,34.5,8,0.4,1.3,0.04714554194769211
8530.5,11618.400000000005,3087.8999999999987,36.198347107438,766.8,51,69,34.5,8,0.38,1.3,0.04714554194769211
8530.5,11618.400000000005,3087.8999999999987,36.198347107438,766.8,51,69,34.5,8,0.42,1.3,0.04714554194769211
8375.25,11406.899999999996,3031.650000000001,36.19772544103162,772.2,41,69,34.5,15,0.45,1.15,0.046815475221199714
8375.25,11406.899999999996,3031.650000000001,36.19772544103162,772.2,41,69,34.5,15,0.42,1.15,0.046815475221199714
8406.75,11449.199999999995,3042.450000000001,36.19056115621377,776.7,48,69,34.5,10,0.45,1.15,0.046535375024062964
8406.75,11449.199999999995,3042.450000000001,36.19056115621377,776.7,48,69,34.5,10,0.5,1.15,0.046535375024062964
8406.75,11449.199999999995,3042.450000000001,36.19056115621377,776.7,48,69,34.5,10,0.42,1.15,0.046535375024062964
8961.0,12201.199999999992,3240.2000000000016,36.15891083584423,745.2,75,69,34.5,12,0.38,1.4,0.048457398600702535
8961.0,12201.199999999992,3240.2000000000016,36.15891083584423,745.2,75,69,34.5,12,0.35,1.4,0.048457398600702535
8961.0,12201.199999999992,3240.2000000000016,36.15891083584423,745.2,75,69,34.5,12,0.4,1.4,0.048457398600702535
8475.0,11538.5,3063.5,36.147492625368734,768.0,23,69,34.5,15,0.5,1.5,0.047005842165629044
8511.0,11585.50000000001,3074.499999999998,36.12383973681116,757.4000000000001,112,69,34.5,8,0.35,1.1,0.04763164522258855
8349.0,11364.600000000004,3015.599999999999,36.1192957240388,777.0,42,69,34.5,12,0.42,1.1,0.04642582997948432
