period,actual,predicted,hit,paused,multiplier,bet_amount,reward,profit,cumulative_profit,consecutive_losses,pause_remaining,risk_mode,triggered_pause
15,42,"[2, 15, 8, 23, 16, 18, 21, 9, 25, 11, 31, 24, 32, 1, 22]",False,False,1,15,0,-15,249,1,0,normal,False
16,39,"[2, 15, 8, 23, 16, 18, 21, 9, 25, 11, 24, 31, 32, 1, 3]",False,False,1,15,0,-15,234,2,0,normal,False
17,2,"[15, 2, 23, 16, 18, 8, 21, 9, 25, 11, 24, 31, 32, 1, 22]",True,False,2,30,94,64,298,0,0,normal,False
18,46,"[15, 23, 16, 8, 21, 9, 25, 1, 11, 18, 31, 32, 22, 24, 17]",False,False,1,15,0,-15,283,1,0,normal,False
19,4,"[8, 1, 9, 3, 4, 15, 43, 23, 5, 6, 21, 7, 40, 10, 25]",True,False,1,15,47,32,315,0,0,normal,False
20,28,"[8, 9, 1, 3, 5, 43, 23, 15, 6, 21, 7, 10, 40, 25, 46]",False,False,1,15,0,-15,300,1,0,normal,False
21,1,"[8, 9, 1, 3, 5, 43, 42, 15, 23, 6, 7, 25, 40, 10, 32]",True,False,1,15,47,32,332,0,0,normal,False
22,34,"[8, 9, 3, 5, 6, 43, 42, 2, 15, 23, 7, 10, 25, 40, 46]",False,False,1,15,0,-15,317,1,0,normal,False
23,8,"[2, 8, 9, 3, 5, 43, 42, 15, 23, 6, 40, 11, 7, 25, 10]",True,False,1,15,47,32,349,0,0,normal,False
24,24,"[2, 9, 3, 5, 6, 43, 42, 13, 40, 46, 25, 15, 7, 10, 8]",False,False,1,15,0,-15,334,1,0,normal,False
25,44,"[2, 4, 3, 5, 43, 42, 9, 13, 46, 25, 40, 6, 15, 7, 10]",False,False,1,15,0,-15,319,2,0,normal,False
26,6,"[2, 4, 3, 5, 43, 42, 9, 13, 46, 25, 40, 6, 15, 7, 1]",True,False,2,30,94,64,383,0,0,normal,False
27,25,"[2, 1, 4, 3, 43, 42, 13, 46, 9, 25, 40, 5, 15, 7, 31]",True,False,1,15,47,32,415,0,0,normal,False
28,12,"[2, 1, 4, 3, 42, 13, 9, 40, 46, 5, 15, 31, 7, 39, 10]",False,False,1,15,0,-15,400,1,0,normal,False
29,35,"[2, 1, 8, 4, 9, 42, 13, 40, 15, 3, 46, 31, 5, 7, 39]",False,False,1,15,0,-15,385,2,0,normal,False
30,23,"[2, 15, 8, 1, 31, 32, 24, 28, 16, 39, 13, 42, np.int64(4), 11, 34]",False,False,2,30,0,-30,355,3,0,normal,False
31,33,"[2, 15, 8, 1, 31, 24, 28, 39, 16, 42, 13, np.int64(4), 34, 11, 32]",False,False,3,45,0,-45,310,4,0,normal,False
32,17,"[2, 15, 1, 4, 24, 28, 39, 16, 42, 13, 34, 11, 31, 21, 32]",False,False,5,75,0,-75,235,5,0,normal,False
33,42,"[15, 2, 1, 4, 25, 24, 28, 39, 16, 42, 13, 34, 11, np.int64(8), 31]",True,False,8,120,376,256,491,0,0,normal,False
34,48,"[2, 1, 4, 24, 16, 28, 39, 15, 25, 13, 12, 34, np.int64(8), np.int64(6), 31]",False,False,1,15,0,-15,476,1,0,normal,False
35,28,"[1, 2, 24, 28, 39, 25, 15, 13, 12, 4, 34, 11, np.int64(8), np.int64(6), 31]",True,False,1,15,47,32,508,0,0,normal,False
36,38,"[1, 2, 24, 23, 15, 25, 39, 13, 12, 34, 4, 11, np.int64(8), np.int64(6), 31]",False,False,1,15,0,-15,493,1,0,conservative,False
37,47,"[2, 24, 23, 39, 15, 25, 12, 13, 34, 4, 1, 11, np.int64(8), np.int64(6), 33]",False,False,1,15,0,-15,478,2,0,normal,False
38,3,"[2, 15, 17, 24, 23, 39, 12, 13, 25, 4, 1, 34, np.int64(8), np.int64(6), 33]",False,False,2,30,0,-30,448,3,0,normal,False
39,33,"[2, 17, 24, 23, 25, 12, 42, 39, 13, 34, 1, 4, 11, np.int64(6), 33]",True,False,3,45,141,96,544,0,0,normal,False
40,44,"[17, 24, 23, 39, 25, 42, 2, 12, 34, 4, 1, 11, np.int64(6), 35, 15]",False,False,1,15,0,-15,529,1,0,conservative,False
41,38,"[6, 2, 1, 4, 8, 46, 12, 28, 5, 42, 7, 9, 10, 34, 24]",False,False,1,15,0,-15,514,2,0,conservative,False
42,43,"[2, 1, 4, 6, 8, 46, 12, 28, 5, 42, 7, 9, 10, 34, 24]",False,False,2,30,0,-30,484,3,0,conservative,False
43,10,"[1, 4, 6, 8, 46, 2, 12, 28, 42, 5, 7, 9, 34, 10, 24]",True,False,3,45,141,96,580,0,0,normal,False
44,41,"[1, 3, 4, 6, 2, 28, 42, 8, 5, 13, 7, 34, 12, 9, 24]",False,False,1,15,0,-15,565,1,0,conservative,False
45,29,"[1, 3, 6, 2, 28, 42, 4, 17, 8, 5, 7, 12, 24, 34, 9]",False,False,1,15,0,-15,550,2,0,conservative,False
46,10,"[1, 3, 44, 6, 2, 4, 17, 8, 5, 12, 24, 34, 42, 7, 9]",False,False,2,30,0,-30,520,3,0,conservative,False
47,31,"[2, 3, 44, 6, 1, 4, 8, 17, 12, 24, 5, 42, 7, 33, 9]",False,False,3,45,0,-45,475,4,0,conservative,False
48,35,"[3, 6, 8, 44, 1, 4, 24, 2, 12, 42, 5, 17, 33, 7, 23]",False,False,5,75,0,-75,400,5,0,normal,False
49,6,"[3, 4, 6, 44, 1, 42, 8, 12, 2, 24, 5, 17, 23, 7, 33]",True,False,8,120,376,256,656,0,0,normal,False
50,36,"[3, 44, 2, 4, 1, 8, 42, 12, 17, 41, 48, 5, 23, 33, 7]",False,False,1,15,0,-15,641,1,0,conservative,False
51,4,"[3, 1, 2, 4, 8, 42, 44, 12, 23, 25, 17, 48, 41, 47, 5]",True,False,1,15,47,32,673,0,0,conservative,False
52,44,"[10, 3, 1, 2, 8, 44, 42, 12, 23, 25, 33, 41, 17, 48, 47]",True,False,1,15,47,32,705,0,0,conservative,False
53,45,"[3, 10, 8, 1, 2, 42, 12, 41, 47, 48, 17, 23, 33, 43, 5]",False,False,1,15,0,-15,690,1,0,conservative,False
54,9,"[10, 1, 3, 2, 5, 42, 41, 47, 48, 17, 23, 43, 33, 35, 7]",False,False,1,15,0,-15,675,2,0,conservative,False
55,16,"[10, 6, 1, 3, 2, 42, 41, 48, 17, 23, 47, 33, 43, 5, 7]",False,False,2,30,0,-30,645,3,0,conservative,False
56,28,"[10, 6, 1, 3, 2, 42, 41, 48, 17, 47, 43, 33, 5, 28, 4]",True,False,3,45,141,96,741,0,0,conservative,False
57,27,"[10, 4, 6, 3, 1, 42, 41, 17, 47, 48, 43, 2, 5, 7, 33]",False,False,1,15,0,-15,726,1,0,conservative,False
58,42,"[10, 4, 6, 3, 1, 44, 42, 41, 47, 48, 43, 2, 12, 5, 33]",True,False,1,15,47,32,758,0,0,conservative,False
