period,actual,predicted,hit,paused,multiplier,bet_amount,reward,profit,cumulative_profit,consecutive_losses,pause_remaining,risk_mode,triggered_pause
177,19,"[3, 2, 4, 5, 7, 1, 11, 12, 42, 28, 46, 45, 27, 47, 43]",False,False,1,15,0,-15,2470,2,0,conservative,False
178,27,"[1, 3, 2, 4, 5, 11, 42, 12, 46, 27, 43, 45, 7, 31, 47]",True,False,2,30,94,64,2534,0,0,conservative,False
179,1,"[1, 3, 2, 4, 5, 42, 46, 11, 45, 47, 31, 7, 12, 8, 32]",True,False,1,15,47,32,2566,0,0,conservative,False
180,43,"[3, 2, 4, 5, 7, 42, 46, 6, 11, 26, 45, 47, 31, 12, 8]",False,False,1,15,0,-15,2551,1,0,conservative,False
181,42,"[6, 3, 2, 4, 5, 42, 46, 26, 45, 12, 31, 47, 7, 32, 8]",True,False,1,15,47,32,2583,0,0,conservative,False
182,11,"[6, 3, 2, 4, 5, 46, 41, 26, 47, 31, 45, 12, 7, 32, 8]",False,False,1,15,0,-15,2568,1,0,conservative,False
183,28,"[6, 3, 2, 4, 5, 46, 41, 47, 19, 45, 31, 12, 32, 7, 8]",False,False,1,15,0,-15,2553,2,0,conservative,False
184,36,"[6, 3, 2, 4, 5, 46, 41, 1, 47, 45, 19, 12, 32, 7, 8]",False,False,2,30,0,-30,2523,3,0,conservative,False
185,16,"[1, 3, 6, 2, 4, 46, 41, 19, 45, 47, 12, 32, 5, 7, 8]",False,False,3,45,0,-45,2478,4,0,conservative,False
186,13,"[1, 19, 6, 18, 3, 26, 27, 12, 41, 13, 31, 21, 39, 32, 22]",True,False,5,75,235,160,2638,0,0,conservative,False
187,19,"[1, 19, 6, 18, 26, 27, 12, 42, 3, 41, 14, 31, 21, 32, 22]",True,False,1,15,47,32,2670,0,0,conservative,False
188,1,"[1, 6, 18, 26, 27, 42, 11, 12, 3, 41, 31, 21, 14, 32, 22]",True,False,1,15,47,32,2702,0,0,conservative,False
189,3,"[6, 28, 18, 26, 2, 27, 42, 11, 41, 3, 21, 32, 14, 22, 15]",True,False,1,15,47,32,2734,0,0,conservative,False
190,39,"[28, 18, 6, 26, 2, 27, 4, 11, 41, 21, 32, 14, 42, 15, 22]",False,False,1,15,0,-15,2719,1,0,conservative,False
191,24,"[28, 16, 26, 2, 27, 4, 11, 18, 41, 6, 21, 42, 15, 22, 37]",False,False,1,15,0,-15,2704,2,0,conservative,False
192,13,"[28, 16, 26, 27, 2, 11, 41, 4, 6, 13, np.int64(19), 42, 21, 15, 22]",True,False,2,30,94,64,2768,0,0,conservative,False
193,23,"[19, 16, 26, 28, np.int64(1), 2, 27, 11, 4, 41, 6, 12, 42, 21, 37]",False,False,1,15,0,-15,2753,1,0,conservative,False
194,1,"[1, 19, 16, 26, 28, 27, 2, 11, 41, np.int64(3), 18, 6, 42, 21, 15]",True,False,1,15,47,32,2785,0,0,conservative,False
195,38,"[3, 19, 16, 26, 28, 27, 18, 2, 11, 41, 6, 21, 15, np.int64(1), 22]",False,False,1,15,0,-15,2770,1,0,conservative,False
196,15,"[3, 19, 16, 26, 28, 27, 2, 11, 41, 6, 12, 15, 21, np.int64(1), 17]",True,False,1,15,47,32,2802,0,0,conservative,False
197,48,"[3, 19, 16, 26, 28, 27, 11, 2, 6, 24, 41, 12, np.int64(13), 21, np.int64(1)]",False,False,1,15,0,-15,2787,1,0,conservative,False
198,14,"[19, 3, 13, 16, 26, 27, 2, 24, 28, 41, 6, 11, 21, 17, 22]",False,False,1,15,0,-15,2772,2,0,conservative,False
199,48,"[19, 3, 16, 13, 26, 27, np.int64(1), 23, 2, 6, 24, 28, 41, 11, 21]",False,False,2,30,0,-30,2742,3,0,conservative,False
200,23,"[1, 19, 3, 16, 13, 27, 6, 23, 28, 24, 41, 11, 26, 2, 21]",True,False,3,45,141,96,2838,0,0,conservative,False
