期数,实际号码,命中,连续失败,Fib档位,倍数,达到限制,投注额,奖金,本期盈亏,累计余额,最大回撤
129,23,✗,3,3,2,,30,0,-30,-287,770
130,33,✗,4,4,3,,45,0,-45,-332,770
131,17,✗,5,5,5,,75,0,-75,-407,770
132,42,✗,6,6,8,,120,0,-120,-527,770
133,48,✗,7,7,10,⚠,150,0,-150,-677,770
134,28,✓,0,0,10,⚠,150,470,320,-357,770
135,38,✗,1,1,1,,15,0,-15,-372,770
136,47,✗,2,2,1,,15,0,-15,-387,770
137,3,✗,3,3,2,,30,0,-30,-417,770
138,33,✓,0,0,3,,45,141,96,-321,770
139,44,✗,1,1,1,,15,0,-15,-336,770
140,38,✗,2,2,1,,15,0,-15,-351,770
141,43,✗,3,3,2,,30,0,-30,-381,770
142,10,✗,4,4,3,,45,0,-45,-426,770
143,41,✗,5,5,5,,75,0,-75,-501,770
144,29,✗,6,6,8,,120,0,-120,-621,770
145,10,✗,7,7,10,⚠,150,0,-150,-771,771
146,31,✗,8,8,10,⚠,150,0,-150,-921,921
147,35,✗,9,9,10,⚠,150,0,-150,-1071,1071
148,6,✓,0,0,10,⚠,150,470,320,-751,1071
149,36,✗,1,1,1,,15,0,-15,-766,1071
150,4,✓,0,0,1,,15,47,32,-734,1071
151,44,✓,0,0,1,,15,47,32,-702,1071
152,45,✗,1,1,1,,15,0,-15,-717,1071
153,9,✗,2,2,1,,15,0,-15,-732,1071
154,16,✗,3,3,2,,30,0,-30,-762,1071
155,28,✓,0,0,3,,45,141,96,-666,1071
156,27,✗,1,1,1,,15,0,-15,-681,1071
157,42,✓,0,0,1,,15,47,32,-649,1071
158,47,✓,0,0,1,,15,47,32,-617,1071
159,41,✓,0,0,1,,15,47,32,-585,1071
160,45,✓,0,0,1,,15,47,32,-553,1071
161,41,✗,1,1,1,,15,0,-15,-568,1071
162,24,✗,2,2,1,,15,0,-15,-583,1071
163,3,✓,0,0,2,,30,94,64,-519,1071
164,34,✗,1,1,1,,15,0,-15,-534,1071
165,14,✗,2,2,1,,15,0,-15,-549,1071
166,42,✓,0,0,2,,30,94,64,-485,1071
167,19,✗,1,1,1,,15,0,-15,-500,1071
168,44,✓,0,0,1,,15,47,32,-468,1071
169,2,✗,1,1,1,,15,0,-15,-483,1071
170,47,✓,0,0,1,,15,47,32,-451,1071
171,18,✗,1,1,1,,15,0,-15,-466,1071
172,5,✗,2,2,1,,15,0,-15,-481,1071
173,22,✗,3,3,2,,30,0,-30,-511,1071
174,44,✓,0,0,3,,45,141,96,-415,1071
175,23,✗,1,1,1,,15,0,-15,-430,1071
176,49,✗,2,2,1,,15,0,-15,-445,1071
177,40,✗,3,3,2,,30,0,-30,-475,1071
178,5,✓,0,0,3,,45,141,96,-379,1071
179,22,✓,0,0,1,,15,47,32,-347,1071
180,15,✗,1,1,1,,15,0,-15,-362,1071
181,48,✗,2,2,1,,15,0,-15,-377,1071
182,42,✓,0,0,2,,30,94,64,-313,1071
183,17,✗,1,1,1,,15,0,-15,-328,1071
184,20,✗,2,2,1,,15,0,-15,-343,1071
185,39,✗,3,3,2,,30,0,-30,-373,1071
186,6,✗,4,4,3,,45,0,-45,-418,1071
187,16,✗,5,5,5,,75,0,-75,-493,1071
188,37,✗,6,6,8,,120,0,-120,-613,1071
189,14,✓,0,0,10,⚠,150,470,320,-293,1071
190,38,✗,1,1,1,,15,0,-15,-308,1071
191,23,✓,0,0,1,,15,47,32,-276,1071
192,4,✗,1,1,1,,15,0,-15,-291,1071
193,24,✗,2,2,1,,15,0,-15,-306,1071
194,18,✓,0,0,2,,30,94,64,-242,1071
195,6,✓,0,0,1,,15,47,32,-210,1071
196,45,✗,1,1,1,,15,0,-15,-225,1071
197,28,✗,2,2,1,,15,0,-15,-240,1071
198,23,✓,0,0,2,,30,94,64,-176,1071
