lookback,good_thresh,bad_thresh,boost_mult,reduce_mult,hits,hit_rate,total_bet,total_win,balance,roi,max_drawdown,hit_10x_count,roi_improve,drawdown_reduce,score
10,0.45,0.2,1.5,0.6,99,33.0,10224.0,12342.2,2118.2,20.7179186228482,270.0,3,5.617918622848199,505.0,102.36604941429056
10,0.45,0.25,1.5,0.6,99,33.0,10224.0,12342.2,2118.2,20.7179186228482,270.0,3,5.617918622848199,505.0,102.36604941429056
12,0.45,0.25,1.3,0.6,99,33.0,9681.0,11679.500000000004,1998.499999999999,20.64352856109905,275.4999999999999,4,5.54352856109905,499.5000000000001,101.16372257937847
10,0.3,0.25,1.5,0.6,99,33.0,12166.5,14833.2,2666.7,21.918382443595117,342.0,8,6.818382443595118,433.0,101.0258183617707
10,0.3,0.2,1.5,0.6,99,33.0,12166.5,14833.2,2666.7,21.918382443595117,342.0,8,6.818382443595118,433.0,101.0258183617707
8,0.4,0.2,1.3,0.6,99,33.0,10209.0,12422.100000000008,2213.0999999999995,21.677931237143692,341.19999999999993,3,6.577931237143693,433.80000000000007,99.53665207251751
8,0.45,0.15,1.3,0.6,99,33.0,10209.0,12422.100000000008,2213.0999999999995,21.677931237143692,341.19999999999993,3,6.577931237143693,433.80000000000007,99.53665207251751
8,0.45,0.2,1.3,0.6,99,33.0,10209.0,12422.100000000008,2213.0999999999995,21.677931237143692,341.19999999999993,3,6.577931237143693,433.80000000000007,99.53665207251751
8,0.4,0.15,1.3,0.6,99,33.0,10209.0,12422.100000000008,2213.0999999999995,21.677931237143692,341.19999999999993,3,6.577931237143693,433.80000000000007,99.53665207251751
12,0.3,0.25,1.2,0.6,99,33.0,10236.0,12417.399999999992,2181.4000000000005,21.31105900742478,323.6,4,6.211059007424781,451.4,99.37800239909598
15,0.45,0.2,1.5,0.6,99,33.0,10641.0,12784.0,2143.0,20.139084672493187,270.0,8,5.039084672493187,505.0,98.53271199472096
15,0.45,0.25,1.5,0.6,99,33.0,10641.0,12784.0,2143.0,20.139084672493187,270.0,8,5.039084672493187,505.0,98.53271199472096
10,0.3,0.25,1.3,0.6,99,33.0,11215.5,13573.600000000013,2358.099999999999,21.025366680041007,325.20000000000005,8,5.925366680041007,449.79999999999995,97.27954861808828
10,0.3,0.2,1.3,0.6,99,33.0,11215.5,13573.600000000013,2358.099999999999,21.025366680041007,325.20000000000005,8,5.925366680041007,449.79999999999995,97.27954861808828
