period,date,top4,actual,is_hit,profit,cumulative_profit,consecutive_misses
285,2026/2/11,"['猴', '狗', '鸡', '龙']",虎,False,-16,638,1
286,2026/2/12,"['猴', '狗', '鸡', '羊']",蛇,False,-16,622,2
287,2026/2/13,"['猴', '狗', '鸡', '龙']",猪,False,-16,606,3
288,2026/2/14,"['猴', '狗', '龙', '鸡']",蛇,False,-16,590,4
289,2026/2/15,"['猴', '狗', '龙', '鸡']",兔,False,-16,574,5
290,2026/2/16,"['猴', '狗', '龙', '鸡']",兔,False,-16,558,6
291,2026/2/17,"['狗', '鸡', '猴', '龙']",羊,False,-16,542,7
292,2026/2/18,"['狗', '鸡', '猴', '龙']",马,False,-16,526,8
293,2026/2/19,"['猴', '狗', '鸡', '龙']",猴,True,30,556,0
294,2026/2/20,"['狗', '鸡', '龙', '牛']",马,False,-16,540,1
295,2026/2/21,"['狗', '龙', '鸡', '牛']",蛇,False,-16,524,2
296,2026/2/22,"['狗', '龙', '鸡', '鼠']",龙,True,30,554,0
297,2026/2/23,"['狗', '鸡', '牛', '猴']",羊,False,-16,538,1
298,2026/2/24,"['狗', '鸡', '牛', '虎']",蛇,False,-16,522,2
299,2026/2/25,"['狗', '鸡', '牛', '虎']",羊,False,-16,506,3
300,2026/2/26,"['狗', '鸡', '牛', '虎']",猴,False,-16,490,4
