period,top4_zodiacs,bet_numbers,bet_count,actual,is_hit,consecutive_wins,consecutive_losses,multiplier,bet_amount,profit,cumulative_profit,balance
54,"['羊', '兔', '牛', '虎']","[5, 6, 7, 11, 17, 18, 19, 23, 29, 30, 31, 35, 41, 42, 43, 47]",16,44,False,0,3,4.0,64.0,-64.0,777.0,777.0
55,"['兔', '牛', '虎', '羊']","[5, 6, 7, 11, 17, 18, 19, 23, 29, 30, 31, 35, 41, 42, 43, 47]",16,1,False,0,4,6.0,96.0,-96.0,681.0,681.0
56,"['兔', '蛇', '牛', '虎']","[5, 6, 7, 9, 17, 18, 19, 21, 29, 30, 31, 33, 41, 42, 43, 45]",16,30,True,1,0,8.0,128.0,248.0,929.0,929.0
57,"['兔', '蛇', '牛', '羊']","[5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47]",16,8,False,0,1,1.0,16.0,-16.0,913.0,913.0
58,"['兔', '蛇', '牛', '羊']","[5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47]",16,24,False,0,2,2.0,32.0,-32.0,881.0,881.0
59,"['牛', '蛇', '兔', '羊']","[5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47]",16,49,False,0,3,4.0,64.0,-64.0,817.0,817.0
60,"['蛇', '牛', '兔', '羊']","[5, 7, 9, 11, 17, 19, 21, 23, 29, 31, 33, 35, 41, 43, 45, 47]",16,7,True,1,0,6.0,96.0,186.0,1003.0,1003.0
61,"['蛇', '牛', '猪', '羊']","[3, 5, 9, 11, 15, 17, 21, 23, 27, 29, 33, 35, 39, 41, 45, 47]",16,11,True,2,0,1.0,16.0,31.0,1034.0,1034.0
62,"['牛', '蛇', '猪', '马']","[3, 5, 9, 10, 15, 17, 21, 22, 27, 29, 33, 34, 39, 41, 45, 46]",16,41,True,3,0,1.0,16.0,31.0,1065.0,1065.0
63,"['蛇', '兔', '马', '猪']","[3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46]",16,24,False,0,1,1.0,16.0,-16.0,1049.0,1049.0
64,"['蛇', '兔', '马', '猪']","[3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46]",16,23,False,0,2,2.0,32.0,-32.0,1017.0,1017.0
65,"['蛇', '狗', '兔', '马']","[2, 7, 9, 10, 14, 19, 21, 22, 26, 31, 33, 34, 38, 43, 45, 46]",16,26,True,1,0,4.0,64.0,124.0,1141.0,1141.0
66,"['蛇', '兔', '马', '猪']","[3, 7, 9, 10, 15, 19, 21, 22, 27, 31, 33, 34, 39, 43, 45, 46]",16,12,False,0,1,1.0,16.0,-16.0,1125.0,1125.0
67,"['蛇', '马', '虎', '猪']","[3, 6, 9, 10, 15, 18, 21, 22, 27, 30, 33, 34, 39, 42, 45, 46]",16,26,False,0,2,2.0,32.0,-32.0,1093.0,1093.0
68,"['蛇', '马', '虎', '猪']","[3, 6, 9, 10, 15, 18, 21, 22, 27, 30, 33, 34, 39, 42, 45, 46]",16,29,False,0,3,4.0,64.0,-64.0,1029.0,1029.0
69,"['蛇', '猪', '马', '虎']","[3, 6, 9, 10, 15, 18, 21, 22, 27, 30, 33, 34, 39, 42, 45, 46]",16,22,True,1,0,6.0,96.0,186.0,1215.0,1215.0
70,"['猪', '蛇', '虎', '鼠']","[3, 4, 6, 9, 15, 16, 18, 21, 27, 28, 30, 33, 39, 40, 42, 45]",16,9,True,2,0,1.0,16.0,31.0,1246.0,1246.0
71,"['猪', '兔', '虎', '龙']","[3, 6, 7, 8, 15, 18, 19, 20, 27, 30, 31, 32, 39, 42, 43, 44]",16,45,False,0,1,1.0,16.0,-16.0,1230.0,1230.0
72,"['猪', '兔', '虎', '龙']","[3, 6, 7, 8, 15, 18, 19, 20, 27, 30, 31, 32, 39, 42, 43, 44]",16,43,True,1,0,2.0,32.0,62.0,1292.0,1292.0
